Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestRun2,Chrome 68.0.3440.75,,2018-08-13 16:41:18,2018-08-13 16:41:44,26.180s,PASSED
,,,,,,
Test Cases/OrangeHRM/Search,Chrome 68.0.3440.75,,2018-08-13 16:41:19,2018-08-13 16:41:34,14.885s,PASSED
openBrowser,Chrome 68.0.3440.75,,2018-08-13 16:41:19,2018-08-13 16:41:24,4.350s,PASSED
navigateToUrl,Chrome 68.0.3440.75,,2018-08-13 16:41:24,2018-08-13 16:41:27,3.483s,PASSED
setText,Chrome 68.0.3440.75,,2018-08-13 16:41:27,2018-08-13 16:41:27,0.153s,PASSED
setEncryptedText,Chrome 68.0.3440.75,,2018-08-13 16:41:27,2018-08-13 16:41:27,0.145s,PASSED
click,Chrome 68.0.3440.75,,2018-08-13 16:41:27,2018-08-13 16:41:29,2.015s,PASSED
click,Chrome 68.0.3440.75,,2018-08-13 16:41:29,2018-08-13 16:41:32,2.773s,PASSED
setText,Chrome 68.0.3440.75,,2018-08-13 16:41:32,2018-08-13 16:41:32,0.109s,PASSED
click,Chrome 68.0.3440.75,,2018-08-13 16:41:32,2018-08-13 16:41:33,0.491s,PASSED
click,Chrome 68.0.3440.75,,2018-08-13 16:41:33,2018-08-13 16:41:33,0.082s,PASSED
closeBrowser,Chrome 68.0.3440.75,,2018-08-13 16:41:33,2018-08-13 16:41:34,0.660s,PASSED
,,,,,,
Test Cases/OrangeHRM/ValidLogin,Chrome 68.0.3440.75,,2018-08-13 16:41:34,2018-08-13 16:41:44,10.636s,PASSED
openBrowser,Chrome 68.0.3440.75,,2018-08-13 16:41:34,2018-08-13 16:41:36,2.146s,PASSED
navigateToUrl,Chrome 68.0.3440.75,,2018-08-13 16:41:36,2018-08-13 16:41:40,3.917s,PASSED
setText,Chrome 68.0.3440.75,,2018-08-13 16:41:40,2018-08-13 16:41:40,0.103s,PASSED
setEncryptedText,Chrome 68.0.3440.75,,2018-08-13 16:41:40,2018-08-13 16:41:40,0.093s,PASSED
click,Chrome 68.0.3440.75,,2018-08-13 16:41:40,2018-08-13 16:41:42,1.986s,PASSED
click,Chrome 68.0.3440.75,,2018-08-13 16:41:42,2018-08-13 16:41:43,1.521s,PASSED
closeBrowser,Chrome 68.0.3440.75,,2018-08-13 16:41:43,2018-08-13 16:41:44,0.709s,PASSED
